GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shopping-cart-offers/shopping-cart-model,default,ShoppingCart,97,0,16,0,22,0,14,0,6,0
shopping-cart-offers/shopping-cart-model,dto,Product,25,0,0,0,10,0,5,0,5,0
